ID_PERSONA;cluster_id;TESTO_PULITO;ETA_x;DURATA;Ral di uscita_x;TITOLO_DI_STUDIO;SESSO;GENERAZIONE;QUALIFICA;CCNL;Contenuti tecnici;Commento1;Livello di autonomia;Commento2;Opportunità di proporre nuove idee;Commento3;Sfide connesse al ruolo;Commento4;Relazione con il team;Commento5;Relazione con il management;Commento6;Ambiente fisico di lavoro;Commento7;Compensation e benefit;Commento8;Bilanciamento lavoro-vita privata;Commento9;Cultura e valori aziendali;Commento10;Opportunità professionale in altra azienda;Maggiore allineamento rispetto a competenze e interessi;Maggiore impatto sul risultato;Nuove sfide;Migliore offerta di Compensation e/o Benefit;Migliore bilanciamento vita privata/lavoro;Altro;Commento_finale;Consiglieresti Hera ai tuoi amici?;Cosa avrebbe potuto fare l'azienda per evitare la tua uscita?;tfidf_attività;tfidf_autonomia;tfidf_avuto;tfidf_bene;tfidf_buon;tfidf_cui;tfidf_esperienza;tfidf_feedback;tfidf_lavorare;tfidf_modo;tfidf_ottimo;tfidf_parte;tfidf_poco;tfidf_punto;tfidf_qualche;tfidf_sempre;tfidf_solo;tfidf_team;ANZIANITA_AZIENDALE;Ral di uscita_y;ETA_y;valutazione performance 2022;valutazione performance 2023;valutazione performance 2024;valutazione performance 2025;valutazione performance 2026;QUALIFICA_Operaio;QUALIFICA_Quadro;MACROGRUPPO_Ambiente, Economia Circolare e Servizi Operativi (2);MACROGRUPPO_Energie Rinnovabili;MACROGRUPPO_Governance, Persone e Funzioni Centrali;MACROGRUPPO_Gruppo Territoriale e Controllate;MACROGRUPPO_Gruppo Territoriale e Controllate (2);MACROGRUPPO_Innovazione e Trasformazione Digitale;MACROGRUPPO_Mercato, Clienti e Vendite;MACROGRUPPO_Reti e Infrastrutture;MACROGRUPPO_Servizi Corporate;MACROGRUPPO_Sviluppo Business e Partnership;MACRO_FAMIGLIA_PROFESSIONALE_ACQUISTI E APPALTI;MACRO_FAMIGLIA_PROFESSIONALE_AMBIENTE;MACRO_FAMIGLIA_PROFESSIONALE_AMMINISTRAZIONE, FINANZA E CONTROLLO;MACRO_FAMIGLIA_PROFESSIONALE_BUSINESS DEVELOPMENT;MACRO_FAMIGLIA_PROFESSIONALE_COMUNICAZIONE E STAKEHOLDER MANAGEMENT;MACRO_FAMIGLIA_PROFESSIONALE_DISTRIBUZIONE ENERGY;MACRO_FAMIGLIA_PROFESSIONALE_EDILE;MACRO_FAMIGLIA_PROFESSIONALE_ILLUMINAZIONE PUBBLICA;MACRO_FAMIGLIA_PROFESSIONALE_INFORMATION E COMMUNICATION TECHNOLOGY;MACRO_FAMIGLIA_PROFESSIONALE_INGEGNERIA;MACRO_FAMIGLIA_PROFESSIONALE_INNOVAZIONE E SVILUPPO TECNOLOGICO;MACRO_FAMIGLIA_PROFESSIONALE_LABORATORI;MACRO_FAMIGLIA_PROFESSIONALE_MARKETING, VENDITA E GESTIONE CLIENTI;MACRO_FAMIGLIA_PROFESSIONALE_OPERATIONS;MACRO_FAMIGLIA_PROFESSIONALE_PERSONALE E ORGANIZZAZIONE;MACRO_FAMIGLIA_PROFESSIONALE_REGOLAZIONE, GOVERNANCE E COMPLIANCE;MACRO_FAMIGLIA_PROFESSIONALE_Sconosciuto;MACRO_FAMIGLIA_PROFESSIONALE_TRADING;MACRO_FAMIGLIA_PROFESSIONALE_VARIE;FL_RESPONSABILE_Sconosciuto;FL_RESPONSABILE_Sì
3E+14;3;critico operativo ripetitivo stato motivi principali abbastanza autonomia sufficiente costante area cui può lavorare ben lontano quanto aspettavo difficile trasformare proposte azioni inciso modo significativo spesso oltre progetti interessanti stato elemento dipendeva progetto sopra media ottima collaborazione degli aspetti migliori buona guida confronto stato critico spazi strumenti adeguati stato motivi principali purtroppo retribuzione percepita competitiva stato motivi principali decisamente insufficiente reperibilità picchi frequenti stato elemento determinante eccellente cultura davvero inclusiva superato nettamente attese esterno trovato pacchetto economico competitivo;39;2;26048,566;DIPLOMA;M;MILLENNIALS;Operaio;FEDERAMBIENTE;1;"Aspetto critico: molto lavoro operativo ripetitivo; è stato uno dei motivi principali.";3;"Abbastanza in linea: autonomia sufficiente, ma non costante; è un'area su cui si può lavorare.";1;"Ben lontano da quanto mi aspettavo: difficile trasformare proposte in azioni; ha inciso in modo significativo.";4;"In linea e spesso oltre: progetti interessanti; è stato un elemento positivo. Dipendeva molto dal progetto.";5;"Molto sopra la media: ottima collaborazione; è uno degli aspetti migliori.";4;"Molto positivo: buona guida e confronto; non è stato un motivo di uscita.";1;"Aspetto critico: spazi/strumenti non adeguati; è stato uno dei motivi principali.";1;"Purtroppo non in linea: retribuzione percepita non competitiva; è stato uno dei motivi principali.";1;"Decisamente insufficiente: reperibilità/picchi frequenti; è stato un elemento determinante.";5;"Eccellente: cultura davvero inclusiva; ha superato nettamente le attese.";0;0;0;0;1;0;0;All'esterno ho trovato un pacchetto economico più competitivo.;4;Migliore pianificazione dei carichi e più flessibilità.;0;0,112828387;0;0;0;0,07521065;0;0;0,073625322;0,113120148;0;0;0;0;0;0;0;0;-0,452692;-0,922955284;-0,466120506;4;2;6;4;5;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
1E+14;6;alterno buon mix dipendeva progetto inciso parte pienamente autonomia limitata alcuni temi avuto impatto alterno spazio proporre serviva metodo area cui può lavorare davvero contesto dinamico stato punto forza buona team disponibile supportato permanenza supporto presente continuo area cui può lavorare maggiore chiarezza sarebbe stato ottimo dotazioni adeguate supportato permanenza buona pacchetto complessivamente buono funzionato bene tratti flessibilità discreta inciso parte sotto cultura sempre allineata contribuito cercato contesto sostenibile orari carichi;49;8;26148,566;NESSUNO;M;GEN X;Operaio;LOGISTICA E TRASPORTO MERCI E SPEDIZIONI;3;"Alterno: buon mix ma dipendeva dal progetto; ha inciso in parte.";2;"Non pienamente soddisfacente: autonomia limitata su alcuni temi; ha avuto un impatto.";3;"Alterno: spazio per proporre, ma serviva più metodo; è un'area su cui si può lavorare.";5;"Aspetto davvero positivo: contesto dinamico; è stato un punto di forza.";4;"Valutazione buona: team disponibile; ha supportato la permanenza.";3;"Soddisfacente ma migliorabile: supporto presente ma non continuo; è un'area su cui si può lavorare. Con maggiore chiarezza sarebbe stato ottimo.";4;"Molto positivo: dotazioni adeguate; ha supportato la permanenza.";4;"Valutazione buona: pacchetto complessivamente buono; ha funzionato bene.";3;"In linea a tratti: flessibilità discreta; ha inciso in parte.";2;"Sotto le aspettative: cultura non sempre allineata; ha contribuito alla scelta.";0;0;0;0;0;1;0;Ho cercato un contesto più sostenibile come orari e carichi.;6;Maggiore coerenza tra valori dichiarati e pratiche.;0;0,144513197;0,115221888;0,113905215;0,119366252;0,192663067;0;0;0,188602015;0;0,105832582;0,19853792;0;0,078014071;0;0,09697125;0;0,133389873;0,244113107;-0,517634218;1,071240468;4;0;1;6;5;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
1E+14;12;margine formazione tecnica sporadica avuto impatto alcuni margine spazi decisionali ridotti contribuito davvero forte supporto portare avanti idee superato nettamente attese sopra buona varietà attività stato elemento sarebbe sopra collaborazione efficace supportato permanenza solo parzialmente decisioni poco tempestive avuto impatto alterno qualche miglioramento possibile inciso parte debole previsto compensation pienamente avuto impatto discreto dipendeva periodo determinato solo abbastanza cultura determinato solo sarebbe;37;2;26298,566;NESSUNO;M;MILLENNIALS;Operaio;COMMER.TERZ.;2;"C'era margine: formazione tecnica sporadica; ha avuto un impatto. In alcuni periodi era diverso.";2;"C'era margine: spazi decisionali ridotti; ha contribuito alla scelta.";5;"Aspetto davvero positivo: forte supporto nel portare avanti idee; ha superato nettamente le attese.";4;"Sopra le aspettative: buona varietà di attività; è stato un elemento positivo. Con piccoli aggiustamenti sarebbe migliorato molto.";4;"Sopra le aspettative: collaborazione efficace; ha supportato la permanenza.";2;"Solo parzialmente in linea: decisioni poco tempestive; ha avuto un impatto.";3;"Alterno: qualche miglioramento possibile; ha inciso in parte.";2;"Più debole del previsto: compensation non pienamente in linea; ha avuto un impatto.";3;"Nel complesso discreto: dipendeva dal periodo; non ha determinato la scelta da solo.";3;"Abbastanza in linea: cultura ok nel complesso; non ha determinato la scelta da solo. Con piccoli aggiustamenti sarebbe migliorato molto.";0;0;0;0;1;0;0;;9;Maggiore competitività del pacchetto economico/benefit e Feedback più costante e priorità più chiare.;0,138865307;0;0,331299598;0;0;0;0;0;0;0;0;0,095143285;0,111075354;0;0,1299391;0;0,237041971;0;0,180767188;0,4562196;2,128176137;7;6;4;6;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
1E+14;6;tratti buon mix dipendeva progetto resta punto miglioramento pienamente spazi decisionali ridotti aumentato insoddisfazione alterno alcune idee recepite altre meno resta punto miglioramento buona buona varietà attività stato elemento sopra media ottima collaborazione degli aspetti migliori alterno gestione discreta inciso parte spesso oltre dotazioni adeguate stato elemento sopra media pacchetto competitivo degli aspetti migliori buona buona flessibilità stato ben lontano quanto aspettavo distanza rispetto mio modo lavorare stato motivi principali;43;3;58920;NESSUNO;M;GEN X;Quadro;COMMER.TERZ.;3;"In linea a tratti: buon mix ma dipendeva dal progetto; resta un punto di miglioramento.";2;"Non pienamente soddisfacente: spazi decisionali ridotti; ha aumentato l'insoddisfazione.";3;"Alterno: alcune idee recepite, altre meno; resta un punto di miglioramento.";4;"Valutazione buona: buona varietà di attività; è stato un elemento positivo.";5;"Molto sopra la media: ottima collaborazione; è uno degli aspetti migliori.";3;"Alterno: gestione discreta, migliorabile; ha inciso in parte.";4;"In linea e spesso oltre: dotazioni adeguate; è stato un elemento positivo.";5;"Molto sopra la media: pacchetto molto competitivo; è uno degli aspetti migliori.";4;"Valutazione buona: buona flessibilità; non è stato un motivo di uscita.";1;"Ben lontano da quanto mi aspettavo: distanza rispetto al mio modo di lavorare; è stato uno dei motivi principali.";0;0;1;0;0;0;0;;6;Maggiore coerenza tra valori dichiarati e pratiche.;0,126487092;0;0;0;0,104207427;0;0;0;0,082325324;0,126487092;0;0,086662375;0;0,136213469;0;0;0;0;0,408812495;-0,365256098;0,590815163;2;0;1;6;5;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
1E+14;3;buona opportunità apprendere campo supportato permanenza maggiore chiarezza sarebbe stato ottimo tratti autonomia sufficiente costante inciso parte debole previsto tempi lunghi portare avanti iniziative stato fattore rilevante punto forza sfide elevate stimolanti degli aspetti migliori team disponibile funzionato bene sotto allineamento sempre chiaro aumentato insoddisfazione tratti qualche miglioramento possibile stato decisivo alcuni critico benefit poco allineati mercato spinto valutare alternative critico difficile staccare stato elemento determinante sopra cultura positiva stato elemento esterno trovato pacchetto economico competitivo;45;6;25277,528;NESSUNO;F;GEN X;Impiegato;COMMER.TERZ.;4;"Valutazione buona: opportunità di apprendere sul campo; ha supportato la permanenza. Con maggiore chiarezza sarebbe stato ottimo.";3;"In linea a tratti: autonomia sufficiente, ma non costante; ha inciso in parte.";2;"Più debole del previsto: tempi lunghi per portare avanti iniziative; è stato un fattore rilevante.";5;"Punto di forza: sfide elevate e stimolanti; è uno degli aspetti migliori.";4;"Molto positivo: team disponibile; ha funzionato bene.";2;"Sotto le aspettative: allineamento non sempre chiaro; ha aumentato l'insoddisfazione.";3;"In linea a tratti: qualche miglioramento possibile; non è stato decisivo, ma migliorabile. In alcuni periodi era diverso.";1;"Aspetto critico: benefit poco allineati al mercato; mi ha spinto a valutare alternative.";1;"Aspetto critico: difficile staccare; è stato un elemento determinante.";4;"Sopra le aspettative: cultura positiva; è stato un elemento positivo.";0;0;0;0;1;0;0;All'esterno ho trovato un pacchetto economico più competitivo.;7;Maggiore competitività del pacchetto economico/benefit.;0;0,143496312;0;0,113103708;0;0;0;0;0;0;0,105087878;0,098570442;0,115076401;0,077465116;0,134619638;0,096288901;0;0,132451259;-0,237315876;-0,085185032;1,35949565;0;3;6;6;5;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1E+14;1;alterno buon mix dipendeva progetto stato decisivo dipendeva progetto spesso oltre buona fiducia responsabilità stato alcuni pienamente tempi lunghi portare avanti iniziative inciso pur essendo unico debole previsto attività spesso simili aumentato insoddisfazione maggiore chiarezza sarebbe stato ottimo ben oltre supporto reciproco costante reso esperienza positiva punto forza forte supporto direzione ciò mancherà abbastanza ambiente dipendeva sede area cui può lavorare sarebbe sotto progressioni lente inciso pur essendo unico flessibilità discreta stato decisivo dipendeva progetto margine coerenza stato fattore rilevante maggiore chiarezza sarebbe stato ottimo;57;32;25403,528;LICENZA MEDIA;M;GEN X;Impiegato;FEDERGASACQUA;3;"Alterno: buon mix ma dipendeva dal progetto; non è stato decisivo, ma migliorabile. Dipendeva molto dal progetto.";4;"In linea e spesso oltre: buona fiducia e responsabilità; non è stato un motivo di uscita. In alcuni periodi era diverso.";2;"Non pienamente soddisfacente: tempi lunghi per portare avanti iniziative; ha inciso, pur non essendo l'unico motivo.";2;"Più debole del previsto: attività spesso simili; ha aumentato l'insoddisfazione. Con maggiore chiarezza sarebbe stato ottimo.";5;"Ben oltre le aspettative: supporto reciproco costante; ha reso l'esperienza molto positiva.";5;"Punto di forza: forte supporto e direzione; è ciò che mi mancherà di più.";3;"Abbastanza in linea: ambiente ok, dipendeva dalla sede; è un'area su cui si può lavorare. Con piccoli aggiustamenti sarebbe migliorato molto.";2;"Sotto le aspettative: progressioni lente; ha inciso, pur non essendo l'unico motivo.";3;"Soddisfacente ma migliorabile: flessibilità discreta; non è stato decisivo, ma migliorabile. Dipendeva molto dal progetto.";2;"C'era margine: coerenza migliorabile; è stato un fattore rilevante. Con maggiore chiarezza sarebbe stato ottimo.";0;0;0;0;1;0;0;;7;Maggiore coerenza tra valori dichiarati e pratiche e Percorsi di crescita più chiari e progetti più sfidanti.;0,107298121;0;0;0;0,088398436;0,071339736;0,07017826;0;0,069836;0;0,156751755;0;0;0,05777447;0;0;0;0;1,016933315;-0,749168961;0,110389859;4;0;8;6;5;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1E+14;3;eccellente contesto spingeva migliorare superato nettamente attese solo parzialmente necessità maggiore fiducia stato fattore rilevante abbastanza canali informali funzionavano metà area cui può lavorare obiettivi abbastanza sfidanti stato debole previsto coordinamento volte faticoso stato fattore rilevante dipendeva progetto davvero forte supporto direzione stato punto forza abbastanza strumenti sufficienti determinato solo ben lontano quanto aspettavo riconoscimento economico insufficiente stato elemento determinante punto forza grande flessibilità reso esperienza positiva buona cultura positiva supportato permanenza opportunità arrivata momento giusto mio percorso;22;6;26795,566;NESSUNO;M;GEN Z;Operaio;FEDERGASACQUA;5;"Eccellente: contesto che spingeva a migliorare; ha superato nettamente le attese.";2;"Solo parzialmente in linea: necessità di maggiore fiducia; è stato un fattore rilevante.";3;"Abbastanza in linea: canali informali funzionavano a metà; è un'area su cui si può lavorare.";4;"Molto positivo: obiettivi abbastanza sfidanti; non è stato un motivo di uscita.";2;"Più debole del previsto: coordinamento a volte faticoso; è stato un fattore rilevante. Dipendeva molto dal progetto.";5;"Aspetto davvero positivo: forte supporto e direzione; è stato un punto di forza.";3;"Abbastanza in linea: strumenti sufficienti; non ha determinato la scelta da solo.";1;"Ben lontano da quanto mi aspettavo: riconoscimento economico insufficiente; è stato un elemento determinante.";5;"Punto di forza: grande flessibilità; ha reso l'esperienza molto positiva.";4;"Valutazione buona: cultura positiva; ha supportato la permanenza.";1;0;0;0;0;0;0;Opportunità arrivata al momento giusto per il mio percorso.;7;Più delega e chiarezza sulle responsabilità e Maggiore competitività del pacchetto economico/benefit.;0;0;0;0;0;0,0913584;0,089871002;0;0,089432701;0;0;0;0;0,147973161;0;0;0,156368524;0;0,434150863;-0,273412119;-0,850460749;2;0;8;6;5;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3E+14;5;abbastanza buon mix dipendeva progetto inciso parte debole previsto autonomia limitata alcuni temi contribuito alterno canali informali funzionavano metà determinato solo debole previsto sfide limitate tempo contribuito eccellente team coeso degli aspetti migliori solo parzialmente decisioni poco tempestive stato fattore rilevante alterno strumenti sufficienti determinato solo abbastanza complessivamente adeguata determinato solo gestibile picchi inciso parte sopra valori chiari supportato permanenza;51;5;25655,528;NESSUNO;M;GEN X;Impiegato;GOMMA PLASTICA E INDUSTRIA;3;"Abbastanza in linea: buon mix ma dipendeva dal progetto; ha inciso in parte.";2;"Più debole del previsto: autonomia limitata su alcuni temi; ha contribuito alla scelta.";3;"Alterno: canali informali funzionavano a metà; non ha determinato la scelta da solo.";2;"Più debole del previsto: sfide limitate nel tempo; ha contribuito alla scelta.";5;"Eccellente: team molto coeso; è uno degli aspetti migliori.";2;"Solo parzialmente in linea: decisioni poco tempestive; è stato un fattore rilevante.";3;"Alterno: strumenti sufficienti; non ha determinato la scelta da solo.";3;"Abbastanza in linea: complessivamente adeguata; non ha determinato la scelta da solo.";3;"Soddisfacente ma migliorabile: gestibile, con picchi; ha inciso in parte.";4;"Sopra le aspettative: valori chiari; ha supportato la permanenza.";0;0;0;1;0;0;0;;5;Percorsi di crescita più chiari e progetti più sfidanti.;0;0,138440141;0;0;0,114349977;0;0;0;0;0;0;0,190194517;0,111021621;0;0;0;0,315903068;0,127784266;0,180767188;0,033814064;1,743835893;5;2;7;6;5;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
3E+14;0;discreto contenuti adeguati alcuni momenti piatti resta punto miglioramento sopra spazio organizzare funzionato bene buona possibilità sperimentare stato elemento obiettivi abbastanza sfidanti apprezzato sopra collaborazione efficace apprezzato discreto comunicazione aiuterebbe area cui può lavorare alterno strumenti sufficienti stato decisivo maggiore chiarezza sarebbe stato ottimo pienamente compensation pienamente aumentato insoddisfazione eccellente carichi ben pianificati reso esperienza positiva tratti valori condivisibili sempre applicati determinato solo;48;3;27047,566;NESSUNO;M;GEN X;Operaio;GOMMA PLASTICA E INDUSTRIA;3;"Nel complesso discreto: contenuti adeguati, con alcuni momenti più piatti; resta un punto di miglioramento.";4;"Sopra le aspettative: spazio per organizzare il lavoro; ha funzionato bene.";4;"Valutazione buona: possibilità di sperimentare; è stato un elemento positivo.";4;"Molto positivo: obiettivi abbastanza sfidanti; è un aspetto che ho apprezzato.";4;"Sopra le aspettative: collaborazione efficace; è un aspetto che ho apprezzato.";3;"Nel complesso discreto: più comunicazione aiuterebbe; è un'area su cui si può lavorare.";3;"Alterno: strumenti sufficienti; non è stato decisivo, ma migliorabile. Con maggiore chiarezza sarebbe stato ottimo.";2;"Non pienamente soddisfacente: compensation non pienamente in linea; ha aumentato l'insoddisfazione.";5;"Eccellente: carichi molto ben pianificati; ha reso l'esperienza molto positiva.";3;"In linea a tratti: valori condivisibili, ma non sempre applicati; non ha determinato la scelta da solo.";0;0;0;0;1;0;0;;8;Maggiore competitività del pacchetto economico/benefit.;0;0;0;0,131973861;0;0,111612487;0,109795334;0;0,109259862;0;0,122620676;0;0;0,090389348;0;0,112353682;0,095517653;0;0,928249029;-0,172074106;-0,273950384;7;7;7;6;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
1E+14;0;solo parzialmente strumenti sempre aggiornati stato fattore rilevante tratti dipendeva responsabile progetto stato decisivo pienamente ascolto presente poco strutturato stato fattore rilevante pienamente sfide limitate tempo stato fattore rilevante sotto conflitti gestiti stato elemento determinante discreto gestione discreta stato decisivo discreto qualche miglioramento possibile area cui può lavorare solo parzialmente compensation pienamente aumentato insoddisfazione spesso oltre carichi generalmente equilibrati supportato permanenza tratti cultura resta punto miglioramento;63;34;27173,566;NESSUNO;M;BOOMERS;Operaio;FEDERAMBIENTE;2;"Solo parzialmente in linea: strumenti non sempre aggiornati; è stato un fattore rilevante.";3;"In linea a tratti: dipendeva dal responsabile/progetto; non è stato decisivo, ma migliorabile.";2;"Non pienamente soddisfacente: ascolto presente ma poco strutturato; è stato un fattore rilevante.";2;"Non pienamente soddisfacente: sfide limitate nel tempo; è stato un fattore rilevante.";1;"Molto sotto le aspettative: conflitti non gestiti; è stato un elemento determinante.";3;"Nel complesso discreto: gestione discreta, migliorabile; non è stato decisivo, ma migliorabile.";3;"Nel complesso discreto: qualche miglioramento possibile; è un'area su cui si può lavorare.";2;"Solo parzialmente in linea: compensation non pienamente in linea; ha aumentato l'insoddisfazione.";4;"In linea e spesso oltre: carichi generalmente equilibrati; ha supportato la permanenza.";3;"In linea a tratti: cultura ok nel complesso; resta un punto di miglioramento.";0;0;1;0;0;0;0;;8;Canali strutturati per valorizzare idee e iniziative e Percorsi di crescita più chiari e progetti più sfidanti.;0;0;0;0;0;0,08289609;0;0;0,081148764;0;0;0;0,099728345;0,06713338;0,116665047;0,083446585;0,141884481;0;2,5879121;1,770895925;2,224261198;7;7;7;6;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
